Year,Yield (tons/acre),radiation,rain,avg_min_temp,avg_max_temp,City
2005-05-31,2.5725000000000002,123022.84,1225.03,2.5443,13.2066,Perry
2005-06-29,1.6580000000000001,133550.99,1371.72,3.3715,14.1006,Perry
2005-08-02,1.397,146960.16,1469.07,4.3105,15.122899999999998,Perry
2005-09-22,1.3625,164743.18,1662.83,5.2417,16.1769,Perry
2006-05-30,2.0735,229999.35999999996,2300.04,3.1353,13.714099999999998,Perry
2006-07-05,2.103,243071.87000000002,2436.08,3.5961,14.160500000000003,Perry
2006-08-01,1.2730000000000001,252845.83,2590.17,4.0229,14.5913,Perry
2006-10-10,1.0230000000000001,275390.83,2894.76,4.5411,15.091399999999998,Perry
2007-05-31,2.0945,339447.66,3574.6400000000003,3.1092,13.494899999999998,Perry
2007-07-02,1.6575,352083.41,3648.78,3.3516,13.8166,Perry
2007-08-02,1.269,363675.04,3759.1099999999997,3.6207000000000003,14.125,Perry
2007-09-06,0.6639999999999999,376919.09,3809.25,3.9,14.4619,Perry
2010-07-28,2.2555882352941174,37513.83764705883,455.85647058823525,11.589888235294117,23.307382352941175,Perry
2010-09-20,1.52525,51266.48,588.75,12.8494,23.8869,Perry
2011-06-01,1.6946428571428573,128788.79,1489.74,3.2282,13.4155,Perry
2011-06-29,1.387857142857143,139394.32,1558.36,3.8191,14.041,Perry
2011-07-26,1.0360714285714285,150841.93,1573.22,4.5008,14.8536,Perry
2011-08-31,1.4575,163036.36999999997,1766.9600000000003,5.2067,15.5743,Perry
