Year,Yield (tons/acre),radiation,rain,avg_min_temp,avg_max_temp,City
2005-06-03,1.4219230769230768,230454.95,2535.38,2.449,13.3067,Ithaca
2005-06-07,2.0382608695652173,118368.72,1340.7,2.6534,13.6072,Ithaca
2005-06-15,2.0895454545454544,341395.76,3618.14,2.3466,13.2826,Ithaca
2005-07-14,1.8683673469387754,192228.7281632653,2104.1895918367345,3.384497959183673,14.368526530612245,Ithaca
2005-07-28,1.770909090909091,358003.82,3721.11,2.8057,13.7932,Ithaca
2005-08-26,1.1295652173913044,148923.23,1512.65,4.7696,16.05,Ithaca
2005-08-27,0.6188461538461538,262881.28,2719.27,3.7066,14.7705,Ithaca
2005-09-06,0.7664516129032258,48010.95,301.99,12.4369,25.5838,Ithaca
2005-09-07,0.7686363636363637,373381.0,3837.77,3.1904,14.2618,Ithaca
2006-06-07,2.563913043478261,226066.03000000003,2411.72,3.0283,14.071899999999998,Ithaca
2006-06-12,2.4393548387096775,115121.65,1105.05,3.7149,14.9185,Ithaca
2006-06-14,1.7966666666666666,296396.8790909091,3098.4166666666665,3.022490909090909,14.05221818181818,Ithaca
2006-06-15,2.4499999999999997,342736.15,3627.92,2.8523,13.7995,Ithaca
2006-07-18,1.4780645161290322,128832.07,1332.09,4.6373,15.9051,Ithaca
2006-07-20,1.9276666666666666,192694.50533333333,2129.744,5.26349,16.57273,Ithaca
2006-07-25,1.7157142857142857,141473.19,1404.11,4.681400000000001,16.0745,Ithaca
2006-07-26,1.498076923076923,358007.83,3900.3399999999997,3.2722,14.2502,Ithaca
2006-07-27,1.7016666666666669,358275.75,3910.57,3.2856,14.2627,Ithaca
2006-09-06,0.9122580645161291,145586.28,1621.28,5.6377,16.8311,Ithaca
2006-09-07,1.0078260869565216,258549.37,2941.05,4.2071,15.2436,Ithaca
2006-09-08,1.115,52753.420000000006,696.37,10.809400000000002,22.652,Ithaca
2006-09-12,0.6572727272727273,328244.10909090907,3621.7566666666667,4.053684848484849,15.092736363636364,Ithaca
2006-09-18,0.5833333333333334,375856.04,4160.07,3.7001000000000004,14.6554,Ithaca
2007-06-07,2.65,125849.27999999998,1323.72,3.1348,14.036700000000002,Ithaca
